,id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%,SCK,FR,TD,PA,YA
76,RB37,Antonio Gibson,WAS,RB,37,148.0,14.0,,,,,,,108.0,428.0,3.0,62.0,47.0,325.0,2.0,25%,11%,,,,,
77,RB38,Jamaal Williams,NO,RB,38,138.0,14.0,,,,,,,157.0,651.0,6.0,26.0,22.0,138.0,1.0,35%,5%,,,,,
78,RB39,Jerick McKinnon,KC,RB,39,136.0,14.0,,,,,,,70.0,292.0,3.0,50.0,39.0,346.0,3.0,19%,8%,,,,,
79,RB40,Zach Charbonnet,SEA,RB,40,129.0,14.0,,,,,,,133.0,558.0,4.0,33.0,26.0,191.0,1.0,32%,6%,,,,,
80,RB41,Raheem Mostert,MIA,RB,41,128.0,13.0,,,,,,,134.0,628.0,4.0,29.0,22.0,156.0,1.0,33%,5%,,,,,
81,RB42,Devin Singletary,HST,RB,42,126.0,14.0,,,,,,,126.0,564.0,3.0,39.0,27.0,202.0,1.0,29%,7%,,,,,
82,RB43,Rashaad Penny,PHI,RB,43,120.0,13.0,,,,,,,150.0,735.0,6.0,10.0,8.0,55.0,0.0,31%,2%,,,,,
83,RB44,Elijah Mitchell,SF,RB,44,117.0,14.0,,,,,,,153.0,668.0,5.0,15.0,12.0,81.0,0.0,32%,3%,,,,,
84,RB45,Jaylen Warren,PIT,RB,45,117.0,14.0,,,,,,,113.0,497.0,3.0,33.0,26.0,188.0,1.0,25%,6%,,,,,
85,RB46,Tyler Allgeier,ATL,RB,46,117.0,14.0,,,,,,,154.0,687.0,4.0,15.0,12.0,83.0,0.0,31%,3%,,,,,
86,RB47,Ezekiel Elliott,NE,RB,47,110.0,14.0,,,,,,,138.0,529.0,5.0,23.0,16.0,107.0,1.0,33%,4%,,,,,
87,RB48,Joshua Kelley,LAC,RB,48,108.0,14.0,,,,,,,105.0,422.0,4.0,31.0,23.0,163.0,1.0,25%,5%,,,,,
88,RB49,Jerome Ford,CLV,RB,49,106.0,14.0,,,,,,,109.0,469.0,3.0,25.0,19.0,146.0,1.0,23%,5%,,,,,
89,RB50,Damien Harris,BUF,RB,50,105.0,14.0,,,,,,,98.0,416.0,3.0,30.0,23.0,158.0,1.0,25%,5%,,,,,
90,RB51,Chuba Hubbard,CAR,RB,51,104.0,14.0,,,,,,,123.0,536.0,3.0,23.0,17.0,129.0,1.0,29%,4%,,,,,
91,RB52,Gus Edwards,BLT,RB,52,102.0,14.0,,,,,,,122.0,556.0,5.0,12.0,9.0,72.0,0.0,26%,2%,,,,,
92,RB53,Kenneth Gainwell,PHI,RB,53,94.0,14.0,,,,,,,94.0,412.0,4.0,20.0,15.0,106.0,1.0,19%,4%,,,,,
93,RB54,Tank Bigsby,JAX,RB,54,93.0,14.0,,,,,,,114.0,474.0,3.0,17.0,13.0,95.0,1.0,27%,3%,,,,,
94,RB55,Kyren Williams,LAR,RB,55,93.0,14.0,,,,,,,78.0,333.0,2.0,31.0,24.0,184.0,1.0,21%,5%,,,,,
95,RB56,D'Onta Foreman,CHI,RB,56,92.0,14.0,,,,,,,115.0,498.0,3.0,15.0,11.0,81.0,0.0,25%,3%,,,,,
96,RB57,Cordarrelle Patterson,ATL,RB,57,92.0,14.0,,,,,,,68.0,304.0,3.0,29.0,22.0,170.0,1.0,14%,6%,,,,,
97,RB58,Chase Edmonds,TB,RB,58,86.0,14.0,,,,,,,74.0,334.0,2.0,28.0,20.0,157.0,1.0,18%,5%,,,,,
98,RB59,Keaontay Ingram,ARZ,RB,59,72.0,14.0,,,,,,,77.0,329.0,3.0,17.0,13.0,92.0,0.0,19%,3%,,,,,
99,RB60,Tyjae Spears,TEN,RB,60,72.0,14.0,,,,,,,74.0,309.0,2.0,20.0,15.0,116.0,1.0,16%,4%,,,,,
100,RB61,De'Von Achane,MIA,RB,61,71.0,14.0,,,,,,,56.0,235.0,1.0,26.0,20.0,143.0,1.0,14%,4%,,,,,
101,RB62,Chase Brown,CIN,RB,62,71.0,14.0,,,,,,,57.0,238.0,2.0,24.0,18.0,136.0,1.0,15%,4%,,,,,
102,RB63,Ty Chandler,MIN,RB,63,68.0,14.0,,,,,,,63.0,270.0,2.0,18.0,14.0,102.0,1.0,16%,3%,,,,,
103,RB64,Malik Davis,DAL,RB,64,64.0,14.0,,,,,,,79.0,337.0,3.0,9.0,7.0,52.0,0.0,16%,2%,,,,,
104,RB65,Clyde Edwards-Helaire,KC,RB,65,62.0,14.0,,,,,,,50.0,220.0,2.0,18.0,13.0,106.0,1.0,14%,3%,,,,,
105,RB66,Ronald Jones,DAL,RB,66,62.0,12.0,,,,,,,79.0,343.0,3.0,7.0,5.0,41.0,0.0,16%,1%,,,,,
106,RB67,Ameer Abdullah,LV,RB,67,61.0,14.0,,,,,,,12.0,50.0,0.0,35.0,26.0,213.0,1.0,3%,6%,,,,,
107,RB68,Matt Breida,NYG,RB,68,61.0,14.0,,,,,,,51.0,222.0,1.0,22.0,17.0,113.0,0.0,12%,4%,,,,,
