id,Name,Team,Pos,Pos Rk,FF Pt,G,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%
RB110,Julius Chestnut,TEN,RB,110,22,14,9,39,0,10,8,57,0,2%,2%
RB111,Ty'Son Williams,ARZ,RB,111,21,13,21,91,1,5,4,29,0,5%,1%
RB112,Mike Boone,HST,RB,112,21,13,20,92,1,5,4,30,0,5%,1%
RB113,Kirk Merritt,NO,RB,113,21,14,9,39,0,10,7,58,0,2%,2%
RB114,Kevin Harris,NE,RB,114,19,13,20,82,1,5,4,30,0,5%,1%
RB115,Deneric Prince,KC,RB,115,19,14,14,57,1,6,5,33,0,4%,1%
RB116,Zonovan Knight,NYJ,RB,116,19,14,24,97,1,4,3,21,0,6%,1%
RB117,Larry Rountree III,LAC,RB,117,19,13,16,65,1,6,4,31,0,4%,1%
RB118,Patrick Ricard,BLT,RB,118,18,17,5,20,0,10,8,52,0,1%,2%
RB119,Andrew Beck,HST,RB,119,17,17,0,0,0,11,8,64,0,0%,2%
RB120,Jordan Mason,SF,RB,120,16,13,14,60,0,5,4,26,0,3%,1%
